epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.834497,0.001,28.7,0.085847,0.042577
2,6.387629,0.001,28.9,0.115015,0.059794
3,6.247306,0.001,28.8,0.118661,0.060724
4,6.172928,0.001,29.8,0.12181,0.062646
5,6.122229,0.001,28.8,0.127279,0.065829
6,6.084109,0.001,28.8,0.12877,0.06606
7,6.050345,0.001,29.5,0.128936,0.067833
8,6.022422,0.001,28.8,0.12993,0.068067
9,5.996956,0.001,29.1,0.133742,0.068494
10,5.972975,0.001,28.9,0.136228,0.069003
11,5.950112,0.001,29.0,0.137057,0.072478
12,5.929294,0.001,29.0,0.130925,0.066883
13,5.90916,0.001,29.0,0.131919,0.067763
