epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.936168,0.0005,28.4,0.073749,0.03731
2,6.50962,0.0005,28.1,0.098939,0.050884
3,6.322209,0.0005,28.3,0.117832,0.061711
4,6.223104,0.0005,28.9,0.122638,0.064386
5,6.16049,0.0005,28.2,0.123798,0.064847
6,6.114948,0.0005,28.5,0.133079,0.067518
7,6.078005,0.0005,28.7,0.129599,0.066172
8,6.045796,0.0005,28.4,0.129765,0.067859
9,6.019536,0.0005,28.5,0.134405,0.06851
10,5.992582,0.0005,28.9,0.132913,0.068578
11,5.967298,0.0005,28.3,0.13109,0.067393
12,5.945353,0.0005,28.4,0.130925,0.068879
13,5.922106,0.0005,28.6,0.12761,0.067138
14,5.901086,0.0005,28.1,0.131753,0.070878
15,5.87944,0.0005,28.0,0.132748,0.069828
16,5.858403,0.0005,28.4,0.132085,0.069303
17,5.840187,0.0005,28.8,0.132085,0.06878
18,5.820463,0.0005,28.1,0.132913,0.06853
19,5.80171,0.0005,28.0,0.129765,0.068539
20,5.784692,0.00025,28.1,0.135565,0.069955
21,5.713559,0.00025,28.1,0.133908,0.070009
22,5.691319,0.00025,28.7,0.136891,0.071686
23,5.678136,0.00025,28.3,0.137057,0.070491
24,5.664612,0.00025,28.1,0.135399,0.069993
25,5.652494,0.00025,28.8,0.133079,0.069662
26,5.641739,0.00025,28.2,0.131919,0.06881
27,5.630043,0.00025,28.4,0.129102,0.068075
28,5.620352,0.000125,28.9,0.133908,0.070029
29,5.574974,0.000125,28.5,0.134736,0.069624
30,5.561926,0.000125,28.2,0.131256,0.067739
31,5.552716,0.000125,28.7,0.130593,0.06741
32,5.544189,0.000125,28.7,0.130925,0.067313
