epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,7.061572,0.001,19.5,0.058005,0.028286
2,6.652806,0.001,17.7,0.082698,0.041611
3,6.437511,0.001,17.7,0.097779,0.050081
4,6.317551,0.001,18.4,0.111203,0.05778
5,6.239398,0.001,19.1,0.118164,0.060441
6,6.184065,0.001,17.7,0.117832,0.061026
7,6.142342,0.001,17.7,0.122804,0.064272
8,6.109061,0.001,18.4,0.126119,0.06574
9,6.080698,0.001,18.3,0.12877,0.067442
10,6.056194,0.001,19.2,0.133576,0.070055
11,6.034684,0.001,17.7,0.133245,0.070219
12,6.015932,0.001,18.3,0.130759,0.068393
13,5.996676,0.001,18.3,0.134902,0.070744
14,5.97867,0.001,18.9,0.131422,0.067319
15,5.962079,0.001,17.7,0.137222,0.070466
