epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.813986,0.001,31.0,0.081538,0.043782
2,6.389076,0.001,31.7,0.109214,0.054932
3,6.251723,0.001,30.5,0.120815,0.062077
4,6.179919,0.001,30.4,0.119655,0.062153
5,6.130562,0.001,30.2,0.124627,0.065112
6,6.092811,0.001,30.9,0.131256,0.065557
7,6.059526,0.001,30.2,0.12761,0.065537
8,6.033649,0.001,30.3,0.132416,0.067431
9,6.009479,0.001,30.4,0.135897,0.068473
10,5.988307,0.001,31.4,0.133742,0.067934
11,5.968779,0.001,30.4,0.135565,0.066943
