epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,7.279033,0.0001,21.3,0.043918,0.019916
2,7.07263,0.0001,21.2,0.04773,0.022758
3,6.946264,0.0001,22.4,0.053364,0.024287
4,6.851057,0.0001,23.0,0.055684,0.027132
5,6.787381,0.0001,21.2,0.059165,0.027927
6,6.733045,0.0001,21.2,0.061485,0.030367
7,6.677637,0.0001,22.0,0.070931,0.03509
8,6.618143,0.0001,22.4,0.078058,0.038562
9,6.563025,0.0001,21.2,0.082698,0.040512
10,6.516283,0.0001,21.4,0.084687,0.041496
11,6.470392,0.0001,21.3,0.088333,0.044389
12,6.426449,0.0001,22.0,0.094465,0.047289
13,6.392636,0.0001,22.4,0.096122,0.048613
14,6.363743,0.0001,21.2,0.100265,0.050806
15,6.339235,0.0001,22.1,0.103083,0.05229
16,6.318127,0.0001,21.9,0.104574,0.052473
17,6.297017,0.0001,22.7,0.106397,0.052612
18,6.279295,0.0001,21.1,0.106563,0.054021
19,6.264203,0.0001,21.2,0.10938,0.055104
20,6.247899,0.0001,21.8,0.110872,0.056313
