method,recall@10,ndcg@10,delta_gap_niche,delta_gap_diverse,delta_gap_blockbuster,avg_popularity,coverage,long_tail_ratio
gru4rec_ce,0.125124,0.064468,0.000837,0.000461,0.000702,0.001944,0.492499,0.092923
gru4rec_ips,0.124461,0.063576,0.000738,0.000375,0.000634,0.001858,0.585055,0.116291
gru4rec_personalized,0.123467,0.062615,0.00075,0.000379,0.000646,0.001866,0.585621,0.11649
popularity,0.041432,0.019306,0.002897,0.002373,0.001967,0.003756,0.03255,0.0
