epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,7.003347,0.001,20.7,0.071429,0.034536
2,6.596231,0.001,19.2,0.090984,0.046134
3,6.421435,0.001,19.0,0.104408,0.054186
4,6.332667,0.001,19.4,0.11054,0.056271
5,6.27689,0.001,19.7,0.118992,0.060132
6,6.242976,0.001,20.7,0.127444,0.065218
7,6.217813,0.001,19.3,0.124296,0.064831
8,6.201517,0.001,19.2,0.122473,0.06437
9,6.187661,0.001,19.6,0.125787,0.066883
10,6.176678,0.001,20.2,0.128107,0.066112
11,6.167037,0.001,18.9,0.130096,0.068115
12,6.158271,0.001,19.5,0.131753,0.068945
13,6.150329,0.001,19.4,0.129267,0.066432
14,6.143229,0.001,20.8,0.131588,0.067673
15,6.137394,0.001,18.9,0.130925,0.069401
16,6.132571,0.001,18.9,0.127113,0.065711
17,6.125126,0.001,19.6,0.134074,0.071432
18,6.121962,0.001,18.9,0.134074,0.069502
19,6.116696,0.001,20.3,0.132748,0.068877
20,6.112281,0.001,19.4,0.132416,0.070745
21,6.108295,0.001,19.8,0.133576,0.069491
22,6.104972,0.001,18.9,0.137388,0.070726
23,6.101257,0.0005,20.4,0.127279,0.067251
24,6.045248,0.0005,19.1,0.136559,0.072966
25,6.034851,0.0005,19.0,0.136062,0.07211
26,6.02829,0.0005,19.5,0.139045,0.074131
27,6.024206,0.0005,20.2,0.139045,0.072971
28,6.019925,0.0005,20.6,0.138217,0.072657
29,6.015691,0.0005,18.9,0.141366,0.073393
30,6.012894,0.0005,18.9,0.135565,0.072073
31,6.008462,0.0005,19.0,0.138217,0.07344
32,6.005975,0.00025,20.1,0.138548,0.073125
33,5.968288,0.00025,19.6,0.139377,0.073555
34,5.961582,0.00025,19.6,0.139377,0.074012
35,5.957893,0.00025,19.5,0.139874,0.075023
36,5.954162,0.00025,19.6,0.138217,0.073072
37,5.950408,0.00025,20.3,0.139543,0.07469
38,5.947007,0.00025,19.4,0.138217,0.072976
39,5.944305,0.00025,18.8,0.139874,0.072924
40,5.942946,0.00025,19.0,0.141366,0.073648
41,5.939638,0.000125,20.2,0.138382,0.073654
42,5.915408,0.000125,19.4,0.142691,0.074793
43,5.911226,0.000125,19.5,0.1412,0.074913
44,5.910092,0.000125,19.1,0.136891,0.073386
45,5.905758,0.000125,20.1,0.138382,0.073879
