epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,7.135317,0.0005,20.9,0.04773,0.023475
2,6.738563,0.0005,18.9,0.076732,0.038454
3,6.510791,0.0005,19.1,0.096453,0.048038
4,6.367837,0.0005,19.0,0.10822,0.054335
5,6.283182,0.0005,19.6,0.120152,0.061013
6,6.221307,0.0005,20.3,0.117169,0.060261
7,6.175662,0.0005,19.6,0.123136,0.063875
8,6.137321,0.0005,19.1,0.12529,0.064173
9,6.106172,0.0005,19.3,0.131753,0.067213
10,6.07914,0.0005,20.3,0.128439,0.064999
11,6.056516,0.0005,19.5,0.130428,0.067637
12,6.033831,0.0005,19.5,0.12993,0.065941
13,6.014809,0.0005,19.3,0.129102,0.066096
14,5.995922,0.0005,20.9,0.131256,0.067429
15,5.978775,0.0005,19.2,0.134571,0.069029
16,5.962472,0.0005,19.3,0.136062,0.070353
17,5.946991,0.0005,19.6,0.135565,0.069435
18,5.930983,0.0005,18.9,0.132913,0.069013
19,5.914928,0.0005,20.2,0.133908,0.068412
20,5.902697,0.0005,19.7,0.134736,0.068387
21,5.887647,0.0005,19.6,0.131422,0.068489
22,5.87375,0.00025,19.0,0.136062,0.069309
23,5.826595,0.00025,20.2,0.136891,0.070604
24,5.815073,0.00025,19.3,0.135565,0.069807
25,5.804751,0.00025,18.9,0.135731,0.069676
26,5.797567,0.00025,19.6,0.135565,0.070931
27,5.786806,0.00025,19.6,0.134239,0.069756
28,5.779838,0.00025,20.3,0.132582,0.069842
29,5.772426,0.00025,19.1,0.134074,0.069289
30,5.76181,0.00025,19.3,0.135234,0.071273
31,5.755816,0.00025,19.4,0.132913,0.069531
32,5.746929,0.00025,20.5,0.132085,0.068861
33,5.738375,0.00025,19.1,0.137057,0.070617
34,5.731783,0.00025,19.8,0.132085,0.069982
35,5.72434,0.00025,19.7,0.131919,0.068623
36,5.716354,0.000125,19.7,0.131588,0.068827
37,5.687343,0.000125,20.3,0.130428,0.068745
38,5.680353,0.000125,19.6,0.134239,0.069596
39,5.673915,0.000125,19.1,0.132582,0.069652
40,5.669895,0.000125,19.5,0.134239,0.070308
