epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.740838,0.001,28.0,0.099934,0.051238
2,6.315866,0.001,28.0,0.119158,0.060679
3,6.193383,0.001,28.0,0.129433,0.066024
4,6.123987,0.001,28.0,0.129102,0.066601
5,6.073376,0.001,28.5,0.131256,0.068027
6,6.031105,0.001,28.3,0.132416,0.068807
7,5.993943,0.001,28.3,0.129267,0.067872
8,5.959589,0.001,27.9,0.139045,0.072984
9,5.930289,0.001,28.7,0.135897,0.074648
10,5.900834,0.001,28.3,0.133245,0.071752
11,5.872961,0.001,28.0,0.131422,0.069552
12,5.847571,0.001,28.1,0.128936,0.068134
13,5.825221,0.001,28.0,0.131256,0.068501
14,5.803012,0.001,28.6,0.133576,0.069512
15,5.782495,0.0005,28.2,0.130925,0.069911
16,5.669089,0.0005,28.2,0.134405,0.072073
17,5.633452,0.0005,28.2,0.134736,0.071663
18,5.60957,0.0005,28.5,0.132416,0.069679
19,5.593051,0.0005,28.3,0.132913,0.069035
