epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.823223,0.001,28.7,0.084687,0.043455
2,6.38452,0.001,28.2,0.111203,0.056999
3,6.246031,0.001,28.7,0.116506,0.060796
4,6.171236,0.001,28.5,0.126616,0.064091
5,6.121259,0.001,29.1,0.127776,0.064337
6,6.082676,0.001,29.2,0.134074,0.068414
7,6.051109,0.001,29.1,0.128936,0.065738
8,6.023379,0.001,29.2,0.134074,0.068539
9,5.997045,0.001,29.4,0.133908,0.068218
10,5.973683,0.001,29.4,0.134074,0.069066
11,5.952176,0.001,29.1,0.130925,0.067817
12,5.931025,0.001,29.5,0.126119,0.065799
