epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,7.252001,0.0001,23.2,0.045409,0.021149
2,7.048546,0.0001,24.0,0.046901,0.021892
3,6.902944,0.0001,23.7,0.05585,0.026304
4,6.789675,0.0001,23.9,0.063971,0.031224
5,6.707933,0.0001,23.8,0.068943,0.034442
6,6.636662,0.0001,24.2,0.072589,0.035686
7,6.560577,0.0001,24.3,0.085018,0.042396
8,6.492406,0.0001,24.5,0.087007,0.043709
9,6.438375,0.0001,23.8,0.092807,0.045622
10,6.388615,0.0001,24.1,0.095293,0.047461
11,6.343634,0.0001,23.8,0.10126,0.051355
12,6.307784,0.0001,23.7,0.106563,0.053607
13,6.27611,0.0001,24.3,0.107723,0.054462
14,6.249245,0.0001,23.3,0.115844,0.058458
15,6.225165,0.0001,23.3,0.113358,0.058671
16,6.201718,0.0001,23.2,0.111203,0.057395
17,6.181691,0.0001,23.1,0.115015,0.059886
18,6.162153,0.0001,23.8,0.118661,0.062341
19,6.144691,0.0001,23.6,0.118661,0.061625
20,6.127179,0.0001,23.2,0.118495,0.061684
