epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.73649,0.001,20.6,0.101094,0.050376
2,6.3135,0.001,20.2,0.123798,0.062023
3,6.191959,0.001,21.0,0.130262,0.068962
4,6.123547,0.001,20.4,0.129267,0.06648
5,6.072408,0.001,20.6,0.127776,0.067727
6,6.0297,0.001,20.9,0.134571,0.071863
7,5.992389,0.001,20.7,0.132748,0.069289
8,5.958996,0.001,20.6,0.135565,0.071749
9,5.927513,0.001,20.4,0.130759,0.070126
10,5.897181,0.001,20.3,0.133245,0.070382
11,5.870117,0.001,20.7,0.12877,0.067188
12,5.844282,0.0005,20.6,0.133079,0.071315
13,5.73347,0.0005,21.0,0.136394,0.071406
14,5.697997,0.0005,20.4,0.136559,0.070202
15,5.674776,0.0005,20.3,0.135234,0.071933
16,5.655191,0.0005,20.3,0.131588,0.069363
17,5.63476,0.0005,21.1,0.132582,0.071148
18,5.619038,0.0005,20.5,0.130759,0.069594
19,5.601331,0.0005,20.3,0.134736,0.071853
20,5.586179,0.0005,20.5,0.132085,0.070822
21,5.571605,0.00025,20.1,0.131753,0.069554
22,5.494193,0.00025,20.1,0.129765,0.068933
23,5.47037,0.00025,20.3,0.131256,0.068874
24,5.455293,0.00025,20.2,0.132416,0.070027
25,5.443697,0.00025,20.3,0.127776,0.067904
