epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.939731,0.0005,20.4,0.069771,0.035125
2,6.513221,0.0005,20.4,0.099768,0.050892
3,6.326957,0.0005,20.4,0.111535,0.05746
4,6.228504,0.0005,20.2,0.120815,0.0615
5,6.164836,0.0005,20.2,0.124959,0.063272
6,6.119176,0.0005,20.6,0.124793,0.06545
7,6.081233,0.0005,20.7,0.133576,0.069889
8,6.049341,0.0005,20.5,0.135234,0.071095
9,6.021214,0.0005,20.3,0.130593,0.068989
10,5.993998,0.0005,20.1,0.134571,0.071067
11,5.969196,0.0005,20.5,0.132085,0.068688
12,5.945707,0.0005,20.3,0.127942,0.069713
13,5.922311,0.0005,20.3,0.126284,0.067001
14,5.900878,0.00025,21.3,0.125787,0.067848
15,5.833986,0.00025,20.4,0.132416,0.069947
16,5.814868,0.00025,19.9,0.13109,0.069761
17,5.79926,0.00025,20.1,0.13109,0.06886
18,5.785122,0.00025,20.1,0.132913,0.070768
