epoch,train_loss,lr,epoch_time_sec,val_recall@10,val_ndcg@10
1,6.737607,0.001,28.7,0.099105,0.049867
2,6.312851,0.001,28.4,0.118164,0.061939
3,6.190852,0.001,28.3,0.128273,0.066952
4,6.12214,0.001,28.6,0.129267,0.065787
5,6.072742,0.001,28.6,0.131422,0.068651
6,6.031157,0.001,28.4,0.12993,0.067255
7,5.993819,0.001,29.0,0.134239,0.069764
8,5.959132,0.001,28.4,0.132748,0.067748
9,5.926913,0.001,28.3,0.133908,0.07102
10,5.896878,0.001,28.5,0.134405,0.070686
11,5.868978,0.001,28.3,0.131919,0.069673
